url,name,formula,rot,iso_rot,kra,ground_truth,img,in_dataset
https://cdnsciencepub.com/doi/10.1139/cjp-2019-0477,"2,3,4-trifluorotoluene",C_7 H_5 F_3,"[2085.9101, 1201.434445, 765.974221]","[['C', 2082.7023, 1195.46081, 763.1122], ['C', 2083.1198, 1199.87423, 764.96437], ['C', 2082.635, 1200.323, 765.082533], ['C', 2083.2674, 1196.27981, 763.521542], ['C', 2059.0178, 1200.06247, 761.765888], ['C', 2058.5583, 1200.02589, 761.687636], ['C', 2082.8237, 1176.99639, 755.560593], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None], ['H', None, None, None]]","[['C', -1.4539, -0.6265, 0.0], ['C', -0.7531, 0.5763, 0.0], ['C', 0.6357, 0.6264, 0.0], ['C', 1.3523, -0.5655, 0.0], ['C', 0.6954, -1.785, 0.0], ['C', -0.7001, -1.8031, 0.0], ['C', -2.9568, -0.6178, 0.0], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None], ['H', None, None, None]]","[['C', -1.4539, -0.6265, 0.0], ['C', -0.7531, 0.5763, 0.0], ['C', 0.6357, 0.6264, 0.0], ['C', 1.3523, -0.5655, 0.0], ['C', 0.6954, -1.785, 0.0], ['C', -0.7001, -1.8031, 0.0], ['C', -2.9568, -0.6178, 0.0], ['H', -1.216, -2.7527, 0.0], ['H', -3.3374, -1.6347, 0.0], ['H', -3.3445, -0.1035, 0.8762], ['H', -3.3445, -0.1035, -0.8762], ['F', 2.6944, -0.5066, 0.0], ['F', -1.4281, 1.7402, 0.0], ['F', 1.2712, 1.803, 0.0], ['H', 1.2761, -2.6946, 0.0]]",https://cdnsciencepub.com/cms/10.1139/cjp-2019-0477/asset/images/large/cjp-2019-0477f1.jpeg,no
https://cdnsciencepub.com/doi/10.1139/cjp-2019-0477,"2,4,5-trifluorotoluene",C_7 H_5 F_3,"[2269.3534, 1032.193, 712.627827]","[['C', 2263.7192, 1028.8396, 710.49982], ['C', 2265.2381, 1029.0963, 710.74454], ['C', 2250.183, 1032.215, 710.74034], ['C', 2264.77, 1029.42271, 710.856187], ['C', 2264.3957, 1029.40582, 710.811555], ['C', 2249.2041, 1032.23095, 710.639175], ['C', 2247.9333, 1018.3259, 703.899962], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None]]","[['C', 1.2642, 0.7302, 0.0], ['C', 1.215, -0.6399, 0.0], ['C', 0.102, -1.3785, 0.0], ['C', -1.1489, -0.6735, 0.0], ['C', -1.1523, 0.7004, 0.0], ['C', 0.1339, 1.4175, 0.0], ['C', 2.5764, 1.4785, 0.0], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None]]","[['C', 1.2635, 0.7493, 0.0], ['C', 1.2239, -0.6425, 0.0], ['C', 0.0473, -1.3766, 0.0], ['C', -1.1533, -0.6822, 0.0], ['C', -1.1599, 0.7073, 0.0], ['C', 0.0333, 1.4137, 0.0], ['C', 2.5763, 1.48, 0.0], ['H', 3.1656, 1.2196, 0.876], ['H', 3.1656, 1.2196, -0.876], ['H', 2.4131, 2.5534, 0.0], ['H', -0.0063, 2.4936, 0.0], ['H', 0.0599, -2.4553, 0.0], ['F', 2.3967, -1.3177, 0.0], ['F', -2.3165, -1.3524, 0.0], ['F', -2.3335, 1.3616, 0.0]]",https://cdnsciencepub.com/cms/10.1139/cjp-2019-0477/asset/images/large/cjp-2019-0477f2.jpeg,no
https://pubs.rsc.org/en/content/articlelanding/2020/CP/d0cp01141j,isoleucinol (I),C_6 H_15 O_1 N_1,"[3759.34376, 1062.44909, 880.24579]","[['C', 3745.439, 1055.21888, 874.74707], ['C', 3756.411, 1061.45345, 879.60403], ['C', 3756.186, 1061.18462, 879.34464], ['C', 3745.884, 1054.4778, 874.51694], ['C', 3755.137, 1039.47661, 864.3285], ['C', 3674.659, 1060.41821, 874.16456], ['O', 3757.59259, 1023.0706, 853.03472], ['N', 3690.03, 1060.34811, 875.01893], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None]]",,,https://pubs.rsc.org/image/article/2020/cp/d0cp01141j/d0cp01141j-f2_hi-res.gif,no
https://pubs.rsc.org/en/content/articlelanding/2020/CP/d0cp01141j,isoleucinol (II),C_6 H_15 O_1 N_1,"[3170.22321, 1103.61682, 971.59291]","[['C', 3153.58, 1097.5552, 965.80927], ['C', 3165.81, 1102.31684, 970.32954], ['C', 3164.531, 1101.65514, 970.4469], ['C', 3155.143, 1097.81391, 966.74006], ['C', 3146.571, 1083.9272, 954.15626], ['C', 3115.826, 1097.4694, 962.94059], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None]]",,,https://pubs.rsc.org/image/article/2020/cp/d0cp01141j/d0cp01141j-f2_hi-res.gif,no
https://pubs.rsc.org/en/content/articlelanding/2020/CP/d0cp01141j,isoleucinol (III),C_6 H_15 O_1 N_1,"[3067.56626, 1213.42566, 1010.54858]","[['C', 3059.714, 1204.58462, 1003.61816], ['C', 3066.875, 1212.83793, 1010.09609], ['C', 3057.472, 1210.9503, 1009.01817], ['C', 3060.334, 1201.14812, 1002.20154], ['C', 3043.051, 1193.35906, 997.17711], ['C', 3003.892, 1210.46269, 1001.52083], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None]]",,,https://pubs.rsc.org/image/article/2020/cp/d0cp01141j/d0cp01141j-f2_hi-res.gif,no
https://www.sciencedirect.com/science/article/pii/S0022286020302337,2-ethylfuran (C1),C_6 H_8 O_1,"[6693.72695, 1947.754374, 1656.347742]","[['O', 6523.10957, 1945.18414, 1645.14961], ['C', 6682.26778, 1947.2211, 1655.80936], ['C', 6570.8614, 1943.22833, 1645.51033], ['C', 6671.19127, 1918.0689, 1634.19012], ['C', 6630.385, 1927.27946, 1637.6949], ['C', 6657.6487, 1925.86239, 1640.96918], ['C', 6660.8953, 1899.44059, 1622.34763], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None]]","[['O', 0.3348, -0.9712, -0.2527], ['C', -0.143, 0.2816, -0.2261], ['C', 0.775, 1.1929, 0.059], ['C', 1.99287, 0.4396, 0.2623], ['C', 1.66247, -0.8579, 0.037], ['C', -1.64732, 0.4027, -0.5052], ['C', -2.51888, -0.2938, 0.5471], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None]]","[['O', 0.32097, -0.97123, -0.24871], ['C', -0.19638, 0.301, -0.22152], ['C', 0.79637, 1.19157, 0.09027], ['C', 1.99411, 0.4342, 0.26086], ['C', 1.65208, -0.87013, 0.04623], ['C', -1.65379, 0.42289, -0.49336], ['C', -2.50951, -0.29756, 0.54964], ['H', 0.67766, 2.25827, 0.18145], ['H', 2.97514, 0.80194, 0.50885], ['H', 2.19977, -1.79558, 0.05973], ['H', -1.87348, 0.02654, -1.48768], ['H', -1.89787, 1.48607, -0.51541], ['H', -3.57005, -0.19042, 0.32458], ['H', -2.26749, -1.35829, 0.57029], ['H', -2.32457, 0.11201, 1.54161]]",https://ars.els-cdn.com/content/image/1-s2.0-S0022286020302337-gr1_lrg.jpg,yes
https://www.sciencedirect.com/science/article/pii/S0022286020302337,2-ethylfuran (Cs),C_6 H_8 O_1,"[7104.81359, 1933.284765, 1549.965675]","[['O', 6883.1842, 1924.47193, 1533.54897], ['C', 7102.97341, 1933.06076, 1549.73989], ['C', 6985.97511, 1932.57454, 1543.77919], ['C', 7020.94141, 1910.95621, 1531.62128], ['C', 7089.0064, 1905.23416, 1531.15234], ['C', 7061.08572, 1914.44973, 1535.7883], ['C', 7086.16188, 1882.84724, 1516.53197], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None]]","[['O', -0.7766, -1.0839, 0.0], ['C', 0.1729, -0.134, 0.0], ['C', -0.3105, 1.1043, 0.0], ['C', -1.75009, 0.9328, 0.0], ['C', -1.96778, -0.403, 0.0], ['C', 1.60712, -0.6696, 0.0], ['C', 2.65413, 0.4413, 0.0], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None]]","[['O', -0.78108, -1.08712, -0.00015], ['C', 0.2206, -0.14881, 1e-05], ['C', -0.3276, 1.10672, -0.00011], ['C', -1.74566, 0.93755, -1e-05], ['C', -1.96827, -0.40903, 0.0002], ['C', 1.61461, -0.67417, -1e-05], ['C', 2.64991, 0.4453, 9e-05], ['H', 0.21615, 2.03587, -0.0002], ['H', -2.49824, 1.70745, -1e-05], ['H', -2.85484, -1.01782, 0.00037], ['H', 1.75721, -1.31411, -0.87439], ['H', 1.75719, -1.31425, 0.87427], ['H', 3.65779, 0.0343, 8e-05], ['H', 2.53969, 1.0743, -0.88202], ['H', 2.53966, 1.07417, 0.88228]]",https://ars.els-cdn.com/content/image/1-s2.0-S0022286020302337-gr1_lrg.jpg,yes
https://pubs.acs.org/doi/full/10.1021/acscentsci.9b01277,2-deoxy-d-riboside (af-1),C_6 H_12 O_4,"[2056.39188, 1019.67311, 860.52781]","[['C', 2049.2702, 1016.90711, 858.93148], ['C', 2037.8316, 1015.84909, 859.89773], ['C', 2043.8605, 1019.06461, 857.92522], ['C', 2051.7887, 1017.27447, 859.65333], ['C', 2049.3594, 1008.34291, 852.9924], ['C', 2045.3385, 1002.97315, 847.49558], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None]]","[['C', 0.891, 0.547, 0.749], ['C', 0.17, 0.628, 1.361], ['C', 0.533, 1.226, 0.1], ['C', 0.78, None, 0.751], ['C', 2.2272, 0.485, 0.79], ['C', 2.8222, 1.043, 0.534], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None]]",,https://pubs.acs.org/cms/10.1021/acscentsci.9b01277/asset/images/large/oc9b01277_0002.jpeg,no
https://pubs.acs.org/doi/full/10.1021/acscentsci.9b01277,2-deoxy-d-riboside (bf-1),C_6 H_12 O_4,"[1890.65747, 1145.05589, 910.72056]","[['C', 1882.83837, 1144.17523, 908.33842], ['C', 1876.38801, 1141.43664, 908.93586], ['C', 1889.4699, 1137.98292, 906.46917], ['C', 1884.4565, 1141.54673, 908.96044], ['C', 1863.455, 1144.31271, 904.5098], ['C', 1887.27572, 1123.50991, 896.66275], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None]]","[['C', 0.584, 1.058, None], ['C', 0.476, 0.926, 1.089], ['C', 1.6113, 0.12, 0.395], ['C', 0.881, 0.547, 0.765], ['C', 0.309, 1.9291, 0.443], ['C', 2.8897, 0.613, 0.355], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None]]",,https://pubs.acs.org/cms/10.1021/acscentsci.9b01277/asset/images/large/oc9b01277_0002.jpeg,no
https://pubs.acs.org/doi/full/10.1021/acscentsci.9b01277,2-deoxy-d-riboside (ap-1),C_6 H_12 O_4,"[2153.8853, 1058.8982, 960.7432]","[['C', 2148.116, 1054.2212, 958.04619], ['C', 2129.689, 1055.0157, 959.0331], ['C', 2144.287, 1055.7623, 957.01031], ['C', 2150.876, 1053.3946, 955.85098], ['C', 2135.928, 1058.4495, 957.01519], ['C', 2145.042, 1040.0463, 946.7746], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None]]","[['C', 1.219, None, 0.799], ['C', 0.12, 0.945, 1.335], ['C', 1.099, 0.92, 0.462], ['C', 1.56, 0.516, 0.257], ['C', 0.372, 1.384, 0.256], ['C', 2.779, 0.2, 0.978], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None], ['O', None, None, None]]",,https://pubs.acs.org/cms/10.1021/acscentsci.9b01277/asset/images/large/oc9b01277_0002.jpeg,no
https://pubs.rsc.org/en/content/articlelanding/2022/CP/d1cp05632h,trans-2-naphthol,C_10 H_8 O_1,"[2845.3572, 825.5363521, 640.087128]","[['C', 2826.4266, 824.1206, 638.2765], ['C', 2844.7845, 819.7675, 636.5836], ['C', 2823.0746, 820.9595, 636.2098], ['C', 2801.4505, 825.1224, 637.5932], ['C', 2835.6648, 825.0998, 639.3556], ['C', 2824.4429, 819.89499, 635.61953], ['C', 2843.2229, 814.06279, 633.06372], ['C', 2829.0763, 815.8434, 633.4304], ['C', 2809.7545, 822.9028, 636.6802], ['C', 2839.3825, 825.4301, 639.7204], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None]]",,,https://pubs.rsc.org/image/article/2022/cp/d1cp05632h/d1cp05632h-f1_hi-res.gif,unknown
https://pubs.rsc.org/en/content/articlelanding/2022/CP/d1cp05632h,cis-2-naphthol,C_10 H_8 O_1,"[2849.157, 824.63285, 639.72412]","[['C', 2830.202, 823.2344, 637.9165], ['C', 2848.666, 818.8827, 636.2285], ['C', 2827.105, 820.0495, 635.8482], ['C', 2805.5672, 824.2133, 637.243], ['C', 2839.6381, 824.2505, 639.0066], ['C', 2824.4429, 819.89499, 635.61953], ['C', 2847.1016, 813.1838, 632.7051], ['C', 2833.107, 814.9305, 633.0662], ['C', 2813.658, 821.9521, 636.3053], ['C', 2843.242, 824.5297, 639.3568], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None]]",,,https://pubs.rsc.org/image/article/2022/cp/d1cp05632h/d1cp05632h-f1_hi-res.gif,unknown
https://pubs.rsc.org/en/content/articlelanding/2022/CP/d1cp05632h,cis-1-naphthol,C_10 H_8 O_1,"[1947.5134, 1124.30793, 713.0962]","[['C', 1944.27, 1119.6924, 710.6501], ['C', 1947.05, 1111.1331, 707.7129], ['C', 1928.561, 1115.1679, 706.8777], ['C', 1919.49, 1123.4788, 708.9618], ['C', 1940.959, 1123.9108, 712.0664], ['C', 1935.954, 1116.2582, 708.3112], ['C', 1947.019, 1105.6979, 705.4966], ['C', 1938.91, 1110.4222, 706.3493], ['C', 1932.316, 1121.6314, 709.9919], ['C', 1946.112, 1124.353, 712.9342], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None]]",,,https://pubs.rsc.org/image/article/2022/cp/d1cp05632h/d1cp05632h-f1_hi-res.gif,unknown
https://pubs.rsc.org/en/content/articlelanding/2022/CP/d1cp05632h,trans-1-naphthol,C_10 H_8 O_1,"[1942.10135, 1133.62346, 716.01781]","[['C', 1938.111, 1128.9753, 713.6212], ['C', 1941.708, 1120.2048, 710.5892], ['C', 1923.445, 1124.2045, 709.7238], ['C', 1914.128, 1132.7282, 711.8268], ['C', 1935.515, 1133.2354, 714.9671], ['C', 1930.422, 1125.5056, 711.1919], ['C', 1941.572, 1114.8401, 708.4078], ['C', 1933.659, 1119.6065, 709.2674], ['C', 1927.071, 1130.9452, 712.9018], ['C', 1940.814, 1133.6683, 715.8612], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['H', None, None, None], ['O', None, None, None]]",,,https://pubs.rsc.org/image/article/2022/cp/d1cp05632h/d1cp05632h-f1_hi-res.gif,unknown
https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.201601201,enflurane (G+),C_3 H_2 Cl_1 F_5 O_1,"[1656.134974, 740.909748, 683.075497]","[['C', 1655.15802, 738.053618, 680.46307], ['C', 1653.53751, 740.64008, 682.85101], ['O', None, None, None], ['C', 1656.03508, 736.65391, 679.43146], ['F', None, None, None], ['H', None, None, None], ['Cl', 1640.53612, 730.734776, 671.970812], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None], ['H', None, None, None]]","[['C', 1.6292, 0.438, None], ['C', 0.078, 0.486, 0.494], ['O', None, None, None], ['C', 1.9883, 0.152, None], ['F', None, None, None], ['H', None, None, None], ['Cl', 2.1742, 1.2076, 0.216], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None], ['F', None, None, None], ['H', None, None, None]]","[['C', -1.639401, 0.413031, -0.02163], ['C', -0.194622, 0.50256, -0.504043], ['O', 0.642703, -0.019036, 0.427082], ['C', 1.98689, -0.060281, 0.078242], ['F', -1.752272, 1.128362, 1.122043], ['H', -2.290801, 0.840383, -0.785399], ['Cl', -2.104203, -1.256253, 0.24498], ['F', -0.076901, -0.121141, -1.693103], ['F', 0.090963, 1.805995, -0.73597], ['F', 2.296445, -1.29783, -0.331047], ['F', 2.679652, 0.19321, 1.189049], ['H', 2.243684, 0.657807, -0.700776]]",https://chemistry-europe.onlinelibrary.wiley.com/cms/asset/318433d7-7893-4149-b2cb-462990c834d8/chem201601201-fig-0001-m.jpg,yes
